Employment by Sector (Rate %),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location,Gender,Sector,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,
Costa Rica,Female,Services,82%,83%,84%,85%,86%,88%,89%,86%,86%,87%,86%,86%,,,,,
Croatia,Female,Services,68%,68%,69%,70%,68%,71%,75%,77%,78%,80%,81%,82%,,,,,
Cuba,Female,Services,79%,80%,80%,80%,79%,78%,81%,81%,81%,81%,82%,82%,,,,,
Cyprus,Female,Services,88%,88%,88%,88%,89%,90%,91%,91%,92%,92%,92%,92%,,,,,
Czech Republic,Female,Services,71%,71%,74%,75%,74%,75%,75%,75%,75%,74%,74%,74%,,,,,
Côte d'Ivoire,Female,Services,47%,47%,47%,48%,47%,48%,49%,51%,53%,55%,56%,56%,,,,,
Denmark,Female,Services,86%,87%,89%,90%,90%,89%,90%,90%,89%,90%,90%,90%,,,,,
Djibouti,Female,Services,38%,38%,39%,39%,40%,40%,40%,40%,41%,42%,42%,43%,,,,,
Dominican Republic,Female,Services,84%,83%,89%,88%,88%,88%,90%,88%,90%,90%,89%,89%,,,,,
Ecuador,Female,Services,66%,67%,67%,68%,68%,68%,68%,69%,66%,66%,64%,64%,,,,,
Egypt,Female,Services,47%,49%,49%,51%,52%,57%,52%,52%,54%,55%,56%,57%,,,,,
El Salvador,Female,Services,76%,75%,77%,76%,75%,77%,78%,78%,77%,79%,78%,78%,,,,,
Equatorial Guinea,Female,Services,43%,44%,45%,45%,45%,46%,46%,46%,47%,48%,48%,48%,,,,,
Eritrea,Female,Services,26%,25%,27%,26%,27%,27%,27%,28%,28%,28%,28%,28%,,,,,
Estonia,Female,Services,75%,75%,78%,79%,78%,80%,81%,80%,80%,81%,81%,81%,,,,,
country.eswatini,Female,Services,62%,63%,63%,63%,64%,64%,65%,65%,65%,65%,65%,65%,,,,,
Fiji,Female,Services,46%,46%,46%,47%,47%,48%,50%,52%,52%,52%,53%,53%,,,,,
Ethiopia,Female,Services,19%,20%,22%,23%,25%,26%,27%,28%,28%,28%,29%,29%,,,,,
Finland,Female,Services,86%,87%,87%,87%,88%,89%,89%,89%,89%,89%,89%,89%,,,,,
France,Female,Services,86%,87%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,,,,,
French Polynesia,Female,Services,87%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%,,,,,
Gabon,Female,Services,37%,36%,37%,37%,38%,38%,39%,39%,40%,40%,41%,41%,,,,,
Gambia,Female,Services,57%,57%,57%,57%,58%,58%,58%,58%,59%,59%,59%,59%,,,,,
Georgia,Female,Services,40%,40%,41%,41%,42%,42%,43%,44%,45%,46%,49%,49%,,,,,
Germany,Female,Services,82%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,86%,,,,,
Ghana,Female,Services,36%,38%,39%,42%,43%,45%,47%,50%,52%,53%,54%,54%,,,,,
Greece,Female,Services,78%,79%,80%,80%,80%,80%,79%,80%,80%,80%,80%,81%,,,,,
Guam,Female,Services,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,,,,,
Guatemala,Female,Services,64%,63%,63%,62%,65%,72%,76%,72%,72%,72%,72%,73%,,,,,
Guinea,Female,Services,25%,25%,25%,25%,26%,26%,26%,26%,27%,26%,27%,27%,,,,,
Guinea-Bissau,Female,Services,22%,22%,22%,22%,23%,22%,23%,23%,23%,23%,23%,24%,,,,,
Guyana,Female,Services,81%,81%,81%,81%,81%,81%,82%,82%,82%,82%,82%,82%,,,,,
Afghanistan,Male,Industry,14%,14%,16%,16%,16%,17%,17%,18%,18%,18%,18%,19%,,,,,
Albania,Male,Industry,24%,24%,27%,28%,24%,22%,22%,22%,22%,22%,22%,23%,,,,,
Algeria,Male,Industry,28%,29%,30%,31%,32%,33%,33%,33%,33%,33%,32%,32%,,,,,
Angola,Male,Industry,16%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,,,,,
Argentina,Male,Industry,33%,33%,33%,33%,33%,33%,34%,35%,34%,33%,32%,32%,,,,,
Armenia,Male,Industry,29%,29%,27%,27%,26%,27%,26%,24%,23%,23%,23%,23%,,,,,
Australia,Male,Industry,31%,32%,31%,31%,31%,31%,31%,32%,31%,30%,30%,30%,,,,,
Austria,Male,Industry,39%,38%,37%,36%,38%,38%,37%,37%,38%,38%,37%,37%,,,,,
Azerbaijan,Male,Industry,21%,18%,19%,21%,22%,22%,22%,22%,22%,22%,22%,22%,,,,,
Bahamas,Male,Industry,29%,27%,27%,27%,27%,28%,27%,27%,27%,27%,27%,27%,,,,,
Bahrain,Male,Industry,39%,41%,41%,43%,42%,42%,42%,42%,42%,42%,42%,42%,,,,,
Bangladesh,Male,Industry,16%,17%,18%,19%,20%,20%,21%,21%,22%,22%,22%,22%,,,,,
Barbados,Male,Industry,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,,,,,
Belarus,Male,Industry,42%,42%,42%,42%,42%,42%,42%,42%,42%,43%,42%,42%,,,,,
Belgium,Male,Industry,35%,36%,35%,34%,34%,33%,33%,33%,33%,32%,31%,31%,,,,,
Belize,Male,Industry,22%,22%,22%,21%,21%,21%,21%,21%,21%,19%,18%,19%,,,,,
Benin,Male,Industry,20%,20%,20%,20%,20%,20%,20%,20%,21%,21%,21%,21%,,,,,
Bhutan,Male,Industry,8%,7%,7%,7%,10%,11%,11%,12%,10%,10%,10%,10%,,,,,
Bolivia,Male,Industry,28%,27%,28%,28%,29%,28%,27%,29%,30%,29%,30%,30%,,,,,
Bosnia and Herzegovina,Male,Industry,39%,39%,39%,39%,39%,39%,39%,38%,38%,38%,38%,38%,,,,,
Botswana,Male,Industry,25%,25%,24%,24%,24%,24%,24%,25%,25%,25%,25%,25%,,,,,
Brunei Darussalam,Male,Industry,27%,26%,26%,25%,25%,25%,25%,24%,23%,22%,21%,21%,,,,,
Brazil,Male,Industry,28%,29%,29%,29%,29%,30%,31%,31%,30%,28%,28%,28%,,,,,
Bulgaria,Male,Industry,41%,43%,42%,41%,38%,37%,36%,36%,36%,36%,36%,36%,,,,,
Burkina Faso,Male,Industry,13%,14%,16%,19%,22%,25%,28%,31%,31%,31%,32%,32%,,,,,
Burundi,Male,Industry,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,
Cambodia,Male,Industry,17%,18%,19%,21%,23%,25%,25%,26%,27%,28%,29%,29%,,,,,
Cameroon,Male,Industry,13%,13%,14%,14%,15%,16%,16%,17%,17%,17%,17%,17%,,,,,
Canada,Male,Industry,32%,32%,31%,31%,30%,31%,31%,31%,30%,30%,30%,29%,,,,,
Cape Verde,Male,Industry,31%,33%,32%,31%,31%,30%,30%,31%,31%,30%,31%,31%,,,,,
Central African Republic,Male,Industry,13%,14%,14%,14%,14%,14%,10%,10%,10%,10%,11%,11%,,,,,
Chad,Male,Industry,4%,4%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,,,
Channel Islands,Male,Industry,36%,36%,35%,35%,34%,34%,34%,34%,34%,34%,34%,33%,,,,,
Chile,Male,Industry,31%,31%,31%,31%,32%,32%,33%,32%,32%,31%,31%,31%,,,,,
China,Male,Industry,25%,26%,26%,27%,27%,28%,28%,29%,29%,29%,29%,29%,,,,,
Colombia,Male,Industry,23%,23%,22%,23%,24%,24%,23%,24%,24%,24%,23%,23%,,,,,
Comoros,Male,Industry,15%,15%,15%,15%,14%,15%,15%,15%,15%,15%,15%,15%,,,,,
Congo,Male,Industry,23%,23%,23%,23%,24%,24%,24%,24%,23%,22%,22%,22%,,,,,
"Congo, Democratic Republic of the",Male,Industry,14%,14%,14%,14%,14%,15%,15%,16%,16%,16%,16%,16%,,,,,
Costa Rica,Male,Industry,27%,27%,26%,25%,24%,24%,22%,23%,25%,24%,24%,24%,,,,,
Croatia,Male,Industry,41%,41%,39%,38%,37%,37%,38%,37%,37%,38%,37%,37%,,,,,
Cuba,Male,Industry,22%,22%,21%,21%,20%,23%,21%,21%,21%,21%,21%,21%,,,,,
Cyprus,Male,Industry,32%,33%,32%,30%,31%,30%,26%,25%,25%,26%,26%,26%,,,,,
Czech Republic,Male,Industry,50%,51%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,,,,,
Côte d'Ivoire,Male,Industry,12%,12%,12%,12%,12%,12%,12%,10%,9%,8%,8%,8%,,,,,
Denmark,Male,Industry,33%,33%,30%,29%,29%,29%,29%,28%,28%,27%,28%,27%,,,,,
Djibouti,Male,Industry,9%,9%,9%,9%,9%,9%,9%,10%,10%,10%,11%,11%,,,,,
Dominican Republic,Male,Industry,27%,25%,23%,23%,23%,23%,22%,23%,24%,25%,26%,26%,,,,,
Ecuador,Male,Industry,23%,24%,24%,23%,22%,22%,24%,25%,25%,24%,24%,24%,,,,,
Egypt,Male,Industry,26%,27%,28%,30%,28%,30%,29%,29%,30%,31%,32%,32%,,,,,
El Salvador,Male,Industry,26%,26%,22%,23%,23%,23%,22%,23%,24%,24%,25%,24%,,,,,
Equatorial Guinea,Male,Industry,20%,21%,21%,21%,21%,20%,20%,20%,20%,20%,20%,20%,,,,,
Eritrea,Male,Industry,10%,10%,9%,9%,10%,10%,10%,10%,11%,11%,11%,11%,,,,,
Estonia,Male,Industry,48%,48%,44%,43%,46%,44%,43%,42%,43%,42%,42%,42%,,,,,
country.eswatini,Male,Industry,26%,26%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,,,,,
Fiji,Male,Industry,15%,16%,16%,16%,16%,16%,16%,16%,15%,15%,15%,15%,,,,,
Ethiopia,Male,Industry,6%,7%,7%,7%,7%,8%,8%,9%,10%,11%,12%,13%,,,,,
Finland,Male,Industry,39%,39%,37%,36%,36%,36%,36%,34%,34%,35%,35%,35%,,,,,
France,Male,Industry,33%,34%,33%,33%,32%,32%,31%,30%,30%,30%,30%,30%,,,,,
French Polynesia,Male,Industry,24%,25%,25%,24%,24%,24%,24%,24%,24%,24%,24%,24%,,,,,
Gabon,Male,Industry,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,,,,,
Gambia,Male,Industry,24%,24%,24%,25%,24%,24%,24%,24%,25%,24%,24%,25%,,,,,
Georgia,Male,Industry,16%,16%,16%,17%,17%,17%,18%,18%,18%,19%,20%,20%,,,,,
Germany,Male,Industry,41%,41%,41%,40%,40%,40%,40%,40%,40%,39%,39%,39%,,,,,
Ghana,Male,Industry,14%,15%,15%,15%,16%,17%,17%,17%,17%,17%,18%,18%,,,,,
Greece,Male,Industry,30%,30%,29%,28%,25%,23%,21%,20%,20%,20%,20%,20%,,,,,
Guam,Male,Industry,22%,22%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,,,,,
Guatemala,Male,Industry,23%,22%,22%,21%,19%,22%,20%,21%,19%,22%,22%,22%,,,,,
Guinea,Male,Industry,10%,10%,10%,9%,9%,10%,10%,10%,10%,11%,11%,11%,,,,,
Guinea-Bissau,Male,Industry,10%,10%,10%,10%,10%,10%,10%,10%,10%,11%,11%,11%,,,,,
Guyana,Male,Industry,31%,32%,32%,32%,32%,32%,32%,33%,33%,33%,33%,33%,,,,,
Afghanistan,Female,Industry,10%,10%,11%,13%,15%,17%,17%,16%,16%,16%,16%,16%,,,,,
Albania,Female,Industry,9%,9%,10%,11%,11%,11%,10%,12%,14%,14%,15%,15%,,,,,
Algeria,Female,Industry,26%,25%,25%,24%,24%,24%,23%,23%,23%,23%,22%,22%,,,,,
Angola,Female,Industry,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Argentina,Female,Industry,10%,10%,10%,9%,10%,9%,9%,8%,9%,9%,9%,9%,,,,,
Armenia,Female,Industry,8%,7%,5%,6%,6%,8%,7%,8%,8%,8%,8%,8%,,,,,
Australia,Female,Industry,9%,9%,9%,9%,9%,8%,8%,8%,8%,8%,8%,8%,,,,,
Austria,Female,Industry,13%,12%,11%,11%,12%,13%,13%,13%,12%,12%,11%,11%,,,,,
Azerbaijan,Female,Industry,4%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,,,,,
Bahamas,Female,Industry,5%,4%,4%,4%,4%,4%,4%,3%,3%,3%,3%,3%,,,,,
Bahrain,Female,Industry,10%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,,,,,
Bangladesh,Female,Industry,13%,13%,13%,13%,13%,14%,14%,15%,15%,16%,17%,17%,,,,,
Barbados,Female,Industry,10%,10%,10%,10%,10%,10%,10%,10%,10%,9%,9%,9%,,,,,
Belarus,Female,Industry,21%,21%,21%,21%,21%,21%,21%,21%,20%,20%,20%,20%,,,,,
Belgium,Female,Industry,11%,10%,10%,10%,10%,9%,9%,8%,8%,8%,9%,8%,,,,,
Belize,Female,Industry,10%,10%,10%,9%,9%,9%,9%,8%,8%,8%,8%,8%,,,,,
Benin,Female,Industry,18%,18%,18%,17%,17%,17%,17%,17%,18%,18%,18%,18%,,,,,
Bhutan,Female,Industry,6%,6%,6%,7%,9%,9%,10%,8%,9%,9%,9%,9%,,,,,
Bolivia,Female,Industry,9%,11%,11%,11%,11%,11%,10%,10%,11%,10%,10%,10%,,,,,
Bosnia and Herzegovina,Female,Industry,17%,17%,17%,17%,17%,16%,16%,16%,16%,16%,16%,16%,,,,,
Botswana,Female,Industry,12%,11%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,
Brunei Darussalam,Female,Industry,10%,11%,11%,11%,11%,11%,11%,11%,10%,10%,9%,9%,,,,,
Brazil,Female,Industry,13%,13%,13%,12%,12%,13%,12%,12%,12%,11%,11%,11%,,,,,
Bulgaria,Female,Industry,28%,29%,27%,24%,24%,25%,24%,23%,23%,22%,23%,22%,,,,,
Burkina Faso,Female,Industry,18%,20%,22%,24%,26%,28%,30%,33%,33%,34%,34%,34%,,,,,
Burundi,Female,Industry,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Cambodia,Female,Industry,19%,20%,22%,23%,24%,26%,25%,25%,25%,25%,25%,25%,,,,,
Cameroon,Female,Industry,9%,10%,10%,10%,10%,10%,10%,11%,11%,11%,11%,10%,,,,,
Canada,Female,Industry,10%,10%,9%,9%,9%,9%,9%,9%,9%,9%,8%,8%,,,,,
Cape Verde,Female,Industry,13%,13%,13%,12%,12%,12%,12%,12%,12%,12%,12%,12%,,,,,
Central African Republic,Female,Industry,8%,8%,8%,9%,9%,9%,7%,7%,7%,7%,7%,7%,,,,,
Chad,Female,Industry,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Channel Islands,Female,Industry,15%,15%,15%,15%,14%,14%,14%,14%,14%,13%,13%,13%,,,,,
Chile,Female,Industry,11%,11%,11%,10%,10%,11%,11%,11%,11%,11%,11%,11%,,,,,
China,Female,Industry,28%,28%,28%,29%,29%,29%,29%,30%,29%,29%,29%,28%,,,,,
Colombia,Female,Industry,16%,16%,16%,16%,16%,16%,15%,14%,14%,13%,14%,14%,,,,,
Comoros,Female,Industry,12%,12%,12%,12%,12%,12%,12%,12%,13%,13%,13%,13%,,,,,
Congo,Female,Industry,24%,24%,23%,24%,23%,23%,23%,23%,22%,22%,22%,22%,,,,,
"Congo, Democratic Republic of the",Female,Industry,3%,3%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,
Costa Rica,Female,Industry,13%,13%,12%,11%,10%,10%,8%,10%,10%,9%,10%,10%,,,,,
Croatia,Female,Industry,18%,18%,16%,15%,16%,17%,15%,15%,15%,15%,14%,13%,,,,,
Cuba,Female,Industry,12%,12%,12%,12%,12%,13%,11%,11%,11%,11%,11%,10%,,,,,
Cyprus,Female,Industry,9%,10%,9%,9%,8%,8%,7%,7%,6%,6%,7%,7%,,,,,
Czech Republic,Female,Industry,27%,27%,24%,23%,24%,23%,23%,24%,24%,24%,24%,24%,,,,,
Côte d'Ivoire,Female,Industry,12%,12%,11%,11%,12%,11%,11%,8%,6%,4%,4%,4%,,,,,
Denmark,Female,Industry,13%,12%,10%,9%,9%,9%,9%,9%,10%,9%,9%,9%,,,,,
Djibouti,Female,Industry,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,,,
Dominican Republic,Female,Industry,14%,14%,9%,10%,10%,10%,9%,10%,9%,9%,10%,10%,,,,,
Ecuador,Female,Industry,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,,,,,
Egypt,Female,Industry,6%,6%,5%,6%,5%,6%,5%,5%,6%,6%,7%,7%,,,,,
El Salvador,Female,Industry,20%,21%,18%,18%,19%,18%,18%,18%,20%,17%,18%,18%,,,,,
Equatorial Guinea,Female,Industry,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,,,,,
Eritrea,Female,Industry,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,,,
Estonia,Female,Industry,22%,22%,19%,18%,19%,18%,17%,18%,17%,17%,17%,17%,,,,,
country.eswatini,Female,Industry,25%,25%,25%,25%,25%,24%,24%,24%,24%,24%,24%,24%,,,,,
Fiji,Female,Industry,12%,12%,12%,12%,12%,10%,9%,8%,8%,8%,8%,8%,,,,,
Ethiopia,Female,Industry,9%,9%,9%,9%,9%,9%,9%,9%,10%,10%,11%,11%,,,,,
Finland,Female,Industry,11%,10%,10%,10%,9%,9%,9%,9%,9%,9%,9%,8%,,,,,
France,Female,Industry,11%,11%,10%,10%,10%,10%,10%,10%,9%,9%,10%,10%,,,,,
French Polynesia,Female,Industry,7%,7%,7%,7%,7%,7%,6%,6%,6%,6%,6%,6%,,,,,
Gabon,Female,Industry,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
Gambia,Female,Industry,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,
Georgia,Female,Industry,4%,4%,4%,4%,4%,4%,4%,5%,5%,5%,5%,5%,,,,,
Germany,Female,Industry,16%,15%,15%,14%,14%,14%,14%,14%,14%,14%,14%,14%,,,,,
Ghana,Female,Industry,14%,13%,13%,12%,12%,11%,11%,15%,20%,20%,20%,19%,,,,,
Greece,Female,Industry,10%,9%,9%,8%,7%,7%,7%,7%,8%,8%,8%,8%,,,,,
Guam,Female,Industry,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,,,,,
Guatemala,Female,Industry,21%,22%,23%,24%,21%,15%,14%,17%,18%,18%,18%,18%,,,,,
Guinea,Female,Industry,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
Guinea-Bissau,Female,Industry,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,,,,,
Guyana,Female,Industry,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,11%,11%,,,,,
