Employment by Sector (Rate %),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location,Gender,Sector,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,
Nicaragua,Female,Services,72%,75%,74%,73%,71%,69%,73%,77%,77%,77%,78%,78%,,,,,
Nigeria,Female,Services,53%,54%,56%,56%,57%,58%,59%,60%,61%,61%,61%,62%,,,,,
Niger,Female,Services,15%,15%,15%,15%,15%,15%,15%,16%,16%,16%,16%,16%,,,,,
country.north_macedonia,Female,Services,54%,55%,55%,55%,56%,58%,54%,55%,58%,59%,59%,60%,,,,,
Norway,Female,Services,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,,,,,
Occupied Palestinian Territory,Female,Services,53%,62%,67%,71%,69%,67%,69%,69%,75%,79%,80%,81%,,,,,
Oman,Female,Services,86%,87%,91%,94%,93%,94%,94%,94%,94%,94%,94%,94%,,,,,
Pakistan,Female,Services,15%,13%,15%,14%,14%,14%,14%,14%,13%,13%,13%,13%,,,,,
Panama,Female,Services,87%,82%,82%,83%,84%,83%,81%,82%,83%,81%,82%,82%,,,,,
Papua New Guinea,Female,Services,24%,24%,25%,25%,25%,26%,27%,27%,28%,28%,28%,28%,,,,,
Paraguay,Female,Services,69%,73%,69%,73%,72%,69%,76%,75%,76%,77%,76%,77%,,,,,
Peru,Female,Services,62%,63%,63%,63%,64%,64%,64%,64%,64%,64%,65%,65%,,,,,
Philippines,Female,Services,66%,67%,67%,68%,68%,69%,70%,70%,71%,73%,75%,75%,,,,,
Poland,Female,Services,68%,68%,70%,71%,71%,72%,73%,73%,73%,74%,74%,74%,,,,,
Portugal,Female,Services,70%,71%,72%,73%,75%,76%,77%,79%,79%,80%,81%,81%,,,,,
Puerto Rico,Female,Services,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,,,,,
Qatar,Female,Services,95%,96%,93%,95%,96%,96%,96%,95%,94%,93%,93%,93%,,,,,
Romania,Female,Services,44%,46%,47%,48%,49%,49%,50%,50%,54%,56%,56%,56%,,,,,
Russian Federation,Female,Services,73%,74%,76%,77%,77%,77%,78%,78%,79%,79%,80%,80%,,,,,
Rwanda,Female,Services,11%,12%,12%,12%,12%,12%,15%,19%,20%,20%,20%,20%,,,,,
Haiti,Male,Industry,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,,,,,
Honduras,Male,Industry,22%,22%,21%,19%,19%,19%,19%,22%,22%,22%,21%,21%,,,,,
"Hong Kong, China",Male,Industry,21%,21%,19%,19%,19%,19%,20%,20%,19%,19%,19%,19%,,,,,
Hungary,Male,Industry,42%,42%,41%,40%,40%,39%,39%,40%,40%,40%,41%,41%,,,,,
Iceland,Male,Industry,32%,34%,29%,28%,28%,28%,29%,28%,28%,27%,27%,27%,,,,,
India,Male,Industry,22%,23%,23%,24%,25%,26%,26%,26%,26%,26%,26%,26%,,,,,
Indonesia,Male,Industry,21%,21%,21%,21%,23%,24%,24%,25%,26%,25%,25%,26%,,,,,
"Iran, Islamic Republic of",Male,Industry,33%,33%,33%,34%,34%,35%,35%,35%,34%,33%,33%,33%,,,,,
Iraq,Male,Industry,27%,27%,26%,27%,27%,27%,27%,27%,26%,26%,26%,26%,,,,,
Ireland,Male,Industry,37%,34%,29%,26%,25%,24%,24%,25%,26%,27%,27%,27%,,,,,
Israel,Male,Industry,31%,31%,30%,30%,29%,26%,26%,26%,26%,26%,26%,26%,,,,,
Italy,Male,Industry,39%,39%,39%,38%,38%,37%,36%,37%,36%,35%,35%,35%,,,,,
Jamaica,Male,Industry,27%,26%,25%,24%,23%,22%,22%,22%,22%,23%,23%,23%,,,,,
Japan,Male,Industry,36%,35%,34%,33%,34%,35%,35%,34%,34%,34%,33%,33%,,,,,
Jordan,Male,Industry,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,,,,,
Kazakhstan,Male,Industry,25%,26%,26%,26%,26%,27%,27%,28%,29%,30%,30%,30%,,,,,
"Korea, Republic of",Male,Industry,33%,33%,32%,32%,32%,32%,32%,33%,33%,33%,33%,33%,,,,,
Kenya,Male,Industry,11%,11%,11%,11%,11%,11%,12%,12%,12%,12%,12%,13%,,,,,
Kuwait,Male,Industry,31%,33%,33%,34%,34%,35%,35%,35%,35%,35%,35%,35%,,,,,
Kyrgyzstan,Male,Industry,27%,28%,28%,28%,28%,29%,26%,26%,28%,29%,29%,29%,,,,,
Lao People's Democratic Republic,Male,Industry,8%,9%,9%,10%,10%,11%,11%,11%,11%,11%,11%,12%,,,,,
Latvia,Male,Industry,41%,41%,34%,33%,32%,33%,34%,35%,35%,35%,34%,34%,,,,,
Lebanon,Male,Industry,27%,27%,27%,27%,27%,27%,27%,27%,27%,26%,26%,26%,,,,,
Lesotho,Male,Industry,8%,8%,9%,9%,9%,10%,10%,9%,10%,10%,10%,10%,,,,,
Liberia,Male,Industry,15%,15%,15%,16%,16%,17%,17%,17%,17%,16%,16%,16%,,,,,
Luxembourg,Male,Industry,26%,22%,20%,20%,20%,20%,18%,16%,19%,18%,17%,17%,,,,,
Lithuania,Male,Industry,41%,42%,37%,33%,33%,35%,35%,34%,34%,35%,35%,35%,,,,,
"Macau, China",Male,Industry,27%,26%,26%,26%,26%,26%,26%,26%,26%,26%,26%,26%,,,,,
Madagascar,Male,Industry,6%,6%,6%,7%,7%,8%,8%,7%,7%,7%,7%,8%,,,,,
Malawi,Male,Industry,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,
Malaysia,Male,Industry,32%,32%,31%,32%,33%,33%,33%,33%,33%,32%,32%,32%,,,,,
Mali,Male,Industry,9%,9%,9%,9%,9%,9%,9%,9%,10%,8%,8%,8%,,,,,
Maldives,Male,Industry,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,,,,,
Malta,Male,Industry,32%,33%,32%,32%,31%,29%,28%,28%,27%,26%,27%,26%,,,,,
Mauritania,Male,Industry,12%,12%,12%,12%,12%,12%,12%,13%,13%,13%,13%,13%,,,,,
Mauritius,Male,Industry,35%,35%,33%,33%,32%,32%,33%,32%,32%,32%,32%,32%,,,,,
"Moldova, Republic of",Male,Industry,25%,26%,25%,25%,25%,26%,23%,23%,24%,22%,21%,21%,,,,,
Mexico,Male,Industry,31%,30%,29%,29%,29%,29%,29%,29%,30%,31%,31%,31%,,,,,
Mongolia,Male,Industry,16%,18%,18%,20%,22%,24%,26%,27%,26%,24%,25%,25%,,,,,
Montenegro,Male,Industry,23%,24%,25%,26%,27%,25%,26%,26%,25%,25%,25%,25%,,,,,
Morocco,Male,Industry,23%,24%,24%,25%,25%,25%,25%,25%,25%,25%,25%,25%,,,,,
Mozambique,Male,Industry,9%,9%,10%,10%,11%,11%,12%,13%,13%,13%,13%,14%,,,,,
Myanmar,Male,Industry,16%,16%,17%,17%,17%,17%,18%,18%,18%,17%,16%,16%,,,,,
Namibia,Male,Industry,19%,19%,19%,19%,20%,22%,23%,24%,27%,30%,30%,30%,,,,,
Nepal,Male,Industry,16%,17%,17%,17%,18%,18%,18%,19%,19%,19%,19%,20%,,,,,
New Caledonia,Male,Industry,34%,34%,34%,34%,35%,34%,34%,34%,34%,34%,34%,34%,,,,,
Netherlands,Male,Industry,29%,28%,27%,27%,26%,26%,25%,25%,25%,25%,25%,25%,,,,,
New Zealand,Male,Industry,32%,32%,31%,31%,30%,30%,30%,31%,33%,30%,30%,30%,,,,,
Nicaragua,Male,Industry,21%,20%,19%,19%,19%,18%,19%,20%,20%,19%,19%,19%,,,,,
Nigeria,Male,Industry,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,,,,,
Niger,Male,Industry,4%,4%,4%,4%,4%,5%,5%,5%,5%,5%,5%,5%,,,,,
country.north_macedonia,Male,Industry,33%,33%,33%,33%,33%,33%,33%,33%,35%,34%,34%,34%,,,,,
Norway,Male,Industry,33%,33%,32%,31%,32%,32%,32%,32%,32%,31%,31%,31%,,,,,
Occupied Palestinian Territory,Male,Industry,27%,27%,28%,28%,30%,31%,32%,32%,33%,34%,35%,34%,,,,,
Oman,Male,Industry,26%,29%,35%,42%,42%,42%,41%,41%,41%,41%,40%,40%,,,,,
Pakistan,Male,Industry,23%,22%,23%,24%,25%,25%,26%,26%,27%,26%,26%,26%,,,,,
Panama,Male,Industry,25%,24%,24%,24%,24%,24%,26%,26%,25%,24%,24%,24%,,,,,
Papua New Guinea,Male,Industry,6%,6%,7%,7%,7%,8%,8%,8%,8%,8%,8%,8%,,,,,
Paraguay,Male,Industry,24%,25%,22%,26%,23%,23%,24%,26%,26%,26%,27%,28%,,,,,
Peru,Male,Industry,21%,21%,22%,23%,22%,23%,23%,22%,23%,22%,21%,21%,,,,,
Philippines,Male,Industry,18%,18%,18%,19%,18%,19%,19%,20%,21%,22%,23%,24%,,,,,
Poland,Male,Industry,41%,43%,43%,42%,42%,42%,42%,42%,42%,43%,43%,43%,,,,,
Portugal,Male,Industry,41%,40%,38%,38%,37%,35%,32%,32%,33%,33%,34%,34%,,,,,
Puerto Rico,Male,Industry,26%,24%,24%,24%,24%,24%,24%,24%,24%,24%,23%,23%,,,,,
Qatar,Male,Industry,59%,68%,65%,63%,61%,59%,59%,60%,62%,62%,62%,62%,,,,,
Romania,Male,Industry,37%,38%,37%,35%,36%,35%,35%,35%,35%,37%,37%,37%,,,,,
Russian Federation,Male,Industry,38%,38%,37%,37%,37%,38%,38%,38%,38%,37%,37%,38%,,,,,
Rwanda,Male,Industry,8%,9%,9%,10%,11%,12%,12%,13%,14%,14%,15%,15%,,,,,
Haiti,Female,Industry,7%,7%,7%,7%,7%,7%,7%,6%,6%,6%,6%,6%,,,,,
Honduras,Female,Industry,22%,21%,20%,19%,21%,21%,19%,23%,21%,20%,20%,20%,,,,,
"Hong Kong, China",Female,Industry,6%,5%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,
Hungary,Female,Industry,21%,21%,19%,20%,20%,19%,19%,19%,19%,19%,20%,20%,,,,,
Iceland,Female,Industry,9%,9%,9%,8%,8%,7%,8%,8%,7%,7%,7%,7%,,,,,
India,Female,Industry,15%,16%,17%,18%,18%,19%,19%,19%,19%,19%,19%,19%,,,,,
Indonesia,Female,Industry,15%,15%,14%,15%,15%,16%,16%,15%,16%,16%,17%,16%,,,,,
"Iran, Islamic Republic of",Female,Industry,29%,27%,25%,24%,24%,25%,25%,24%,24%,25%,25%,25%,,,,,
Iraq,Female,Industry,9%,9%,9%,9%,9%,8%,8%,8%,8%,8%,8%,8%,,,,,
Ireland,Female,Industry,11%,10%,9%,9%,9%,9%,9%,8%,8%,9%,9%,8%,,,,,
Israel,Female,Industry,11%,11%,10%,9%,9%,8%,8%,8%,8%,8%,8%,8%,,,,,
Italy,Female,Industry,16%,16%,15%,14%,14%,14%,14%,13%,13%,13%,13%,13%,,,,,
Jamaica,Female,Industry,6%,6%,6%,6%,7%,6%,6%,6%,6%,6%,6%,6%,,,,,
Japan,Female,Industry,17%,17%,15%,15%,15%,15%,15%,15%,15%,15%,14%,14%,,,,,
Jordan,Female,Industry,17%,17%,17%,16%,16%,16%,16%,16%,16%,16%,16%,15%,,,,,
Kazakhstan,Female,Industry,12%,12%,11%,11%,11%,12%,12%,12%,11%,12%,12%,12%,,,,,
"Korea, Republic of",Female,Industry,16%,15%,14%,14%,14%,14%,14%,14%,14%,13%,14%,14%,,,,,
Kenya,Female,Industry,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
Kuwait,Female,Industry,3%,4%,4%,4%,4%,4%,4%,5%,5%,5%,5%,5%,,,,,
Kyrgyzstan,Female,Industry,11%,11%,11%,11%,11%,11%,11%,12%,11%,11%,11%,11%,,,,,
Lao People's Democratic Republic,Female,Industry,6%,6%,6%,7%,7%,7%,7%,7%,7%,7%,7%,7%,,,,,
Latvia,Female,Industry,15%,17%,15%,14%,14%,14%,14%,13%,13%,13%,13%,13%,,,,,
Lebanon,Female,Industry,11%,11%,11%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,
Lesotho,Female,Industry,9%,9%,9%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,
Liberia,Female,Industry,5%,5%,5%,5%,6%,6%,6%,6%,6%,6%,6%,6%,,,,,
Luxembourg,Female,Industry,5%,6%,4%,5%,4%,4%,4%,4%,4%,5%,3%,3%,,,,,
Lithuania,Female,Industry,20%,19%,18%,17%,16%,16%,16%,16%,16%,16%,16%,15%,,,,,
"Macau, China",Female,Industry,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,8%,8%,,,,,
Madagascar,Female,Industry,3%,4%,5%,6%,7%,8%,8%,7%,7%,7%,7%,7%,,,,,
Malawi,Female,Industry,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,,,,,
Malaysia,Female,Industry,23%,23%,20%,20%,21%,20%,20%,20%,19%,20%,20%,20%,,,,,
Mali,Female,Industry,7%,7%,7%,7%,7%,7%,7%,7%,6%,4%,4%,4%,,,,,
Maldives,Female,Industry,31%,30%,29%,28%,27%,26%,24%,23%,23%,22%,22%,21%,,,,,
Malta,Female,Industry,13%,11%,12%,13%,13%,11%,12%,10%,9%,9%,10%,9%,,,,,
Mauritania,Female,Industry,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,,,,,
Mauritius,Female,Industry,26%,25%,24%,21%,21%,20%,20%,20%,19%,19%,19%,19%,,,,,
"Moldova, Republic of",Female,Industry,12%,14%,13%,12%,12%,13%,12%,12%,12%,12%,13%,12%,,,,,
Mexico,Female,Industry,18%,17%,16%,16%,16%,16%,16%,17%,17%,17%,18%,17%,,,,,
Mongolia,Female,Industry,11%,12%,11%,12%,12%,11%,14%,14%,13%,13%,12%,12%,,,,,
Montenegro,Female,Industry,10%,10%,9%,9%,10%,8%,8%,8%,8%,8%,7%,7%,,,,,
Morocco,Female,Industry,14%,14%,13%,13%,13%,12%,12%,12%,12%,12%,12%,12%,,,,,
Mozambique,Female,Industry,1%,1%,1%,1%,1%,1%,2%,2%,3%,3%,3%,3%,,,,,
Myanmar,Female,Industry,13%,13%,13%,14%,14%,14%,14%,14%,15%,15%,15%,15%,,,,,
Namibia,Female,Industry,7%,7%,6%,5%,5%,5%,5%,5%,6%,7%,7%,7%,,,,,
Nepal,Female,Industry,5%,6%,6%,6%,6%,6%,6%,6%,6%,6%,7%,7%,,,,,
New Caledonia,Female,Industry,9%,9%,8%,9%,9%,8%,8%,8%,8%,8%,8%,8%,,,,,
Netherlands,Female,Industry,8%,7%,7%,7%,6%,6%,6%,6%,6%,6%,6%,6%,,,,,
New Zealand,Female,Industry,10%,10%,10%,10%,9%,9%,9%,10%,10%,9%,9%,9%,,,,,
Nicaragua,Female,Industry,19%,19%,17%,16%,15%,13%,14%,14%,14%,14%,13%,13%,,,,,
Nigeria,Female,Industry,12%,12%,12%,12%,13%,12%,12%,12%,12%,12%,12%,12%,,,,,
Niger,Female,Industry,11%,11%,11%,11%,11%,12%,12%,12%,12%,12%,12%,12%,,,,,
country.north_macedonia,Female,Industry,29%,28%,27%,26%,25%,24%,26%,26%,24%,25%,25%,25%,,,,,
Norway,Female,Industry,8%,8%,7%,7%,7%,8%,7%,7%,7%,7%,7%,7%,,,,,
Occupied Palestinian Territory,Female,Industry,10%,10%,9%,8%,9%,9%,10%,11%,12%,12%,12%,12%,,,,,
Oman,Female,Industry,12%,11%,8%,6%,6%,6%,6%,6%,6%,6%,5%,5%,,,,,
Pakistan,Female,Industry,12%,12%,13%,12%,11%,11%,11%,13%,15%,14%,14%,14%,,,,,
Panama,Female,Industry,10%,10%,10%,10%,9%,9%,10%,10%,10%,10%,10%,10%,,,,,
Papua New Guinea,Female,Industry,1%,1%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
Paraguay,Female,Industry,9%,10%,10%,9%,9%,8%,8%,9%,10%,8%,9%,9%,,,,,
Peru,Female,Industry,10%,11%,10%,10%,10%,10%,10%,9%,9%,9%,9%,9%,,,,,
Philippines,Female,Industry,11%,11%,11%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,
Poland,Female,Industry,18%,18%,17%,16%,17%,16%,16%,17%,16%,17%,17%,17%,,,,,
Portugal,Female,Industry,18%,17%,16%,16%,16%,15%,15%,15%,15%,15%,15%,15%,,,,,
Puerto Rico,Female,Industry,10%,10%,10%,10%,9%,9%,9%,9%,9%,9%,9%,9%,,,,,
Qatar,Female,Industry,5%,4%,7%,5%,4%,4%,4%,5%,6%,7%,7%,7%,,,,,
Romania,Female,Industry,25%,24%,22%,20%,20%,20%,20%,21%,20%,21%,22%,22%,,,,,
Russian Federation,Female,Industry,20%,19%,18%,18%,17%,17%,17%,17%,16%,16%,16%,16%,,,,,
Rwanda,Female,Industry,1%,2%,2%,2%,2%,2%,2%,3%,3%,3%,3%,3%,,,,,
